 - - [04/Feb/2026:08:29:54 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Feb/2026:18:58:29 +0300] "GET /api/backup/test HTTP/1.0" 200 167 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:19:00:58 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Feb/2026:19:01:09 +0300] "GET /admin HTTP/1.0" 404 207 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:16:13:03 +0300] "GET /admin/ HTTP/1.1" 500 265 "-" "curl/7.81.0"
127.0.0.1 - - [06/Feb/2026:16:13:03 +0300] "GET /admin/ HTTP/1.0" 500 265 "-" "curl/7.81.0"
127.0.0.1 - - [06/Feb/2026:16:13:03 +0300] "GET /admin/quick-access HTTP/1.1" 200 197 "-" "curl/7.81.0"
127.0.0.1 - - [06/Feb/2026:16:13:03 +0300] "GET /admin/login HTTP/1.1" 200 5291 "-" "curl/7.81.0"
127.0.0.1 - - [06/Feb/2026:16:15:18 +0300] "GET / HTTP/1.0" 200 37 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:16:15:18 +0300] "GET /favicon.ico HTTP/1.0" 404 207 "http://backups.cubinez.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [06/Feb/2026:16:15:30 +0300] "GET /admin HTTP/1.0" 308 251 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
